sl_no,Product_name,Review,Rating,Polarity,Predicted_Sentiment,stemmed_content,Sentiment
1344,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",Phone looks great in hand.Build quality is good and it looks premium.Display is good and it works smoothly at 120hz settingSound quality is better from previous Xiaomi phones as it has stereo speaker on too and bottom.Charging is super quick. It charged my phone from 2% to 100% in approx 17 minutes.Con- Xiaomi really need to work on its camera especially on front camera.The picture still looks like the one we get on phones in 10000 range.,4,0.38000000000000006,Positive,phone look great hand build qualiti good look premium display good work smoothli hz settingsound qualiti better previou xiaomi phone stereo speaker bottom charg super quick charg phone approx minut con xiaomi realli need work camera especi front camera pictur still look like one get phone rang,Positive
1345,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)","I’m writing review after a month of week of usage, First display is 4/5 its a good display plus the phone look premium in hand and nice to use due to it design. Providing headphone jack is a plus. Despite of the fact that 4500 MAH batterie it last pretty long u can pass a day with 20 to 30% battery.  It has a good bright ness level too to view in sunlight. Over all a very good phone.Con:- Only drawback is camera , it doesn’t justify the price. (3.5/5) And do get Hypercharge model its so coo...",5,0.35772727272727267,Positive,write review month week usag first display good display plu phone look premium hand nice use due design provid headphon jack plu despit fact mah batteri last pretti long u pass day batteri good bright ness level view sunlight good phone con drawback camera justifi price get hypercharg model coo,Positive
1346,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",Ok.. after 3 days of using this mobile i am writing the review.First of all the rear camera quality is not that good for its price. Front camera is good.. performance is also good.. i got easily 8-9 hours screen on time.. and it's charge 2-100% in 17 minutes in my test. Afterall not a bad device.. but rear camera should be better.. i got this for 24000.. and for this price it's okay.. but in 27000 i will say it's overpriced.. specially it's sound quality is very good.. too loud and clear box...,3,0.49030303030303024,Positive,ok day use mobil write review first rear camera qualiti good price front camera good perform also good got easili hour screen time charg minut test afteral bad devic rear camera better got price okay say overpr special sound qualiti good loud clear box,Neutral
1347,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",Thanks for the phone Xiaomi for making such a Mobile. fast charging is quick as company claim.Thanks Flipkart for fast delivery.,5,0.18666666666666668,Positive,thank phone xiaomi make mobil fast charg quick compani claim thank flipkart fast deliveri,Positive
1348,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",MY XIAOMI 11i HYPER CHARGE MOBILE VERY GOOD . I'M HAPPY FOR PURCHASE THIS MOBILE . ALL IS WELL,5,0.855,Positive,xiaomi hyper charg mobil good happi purchas mobil well,Positive
1349,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",Really nice product from Xiaomi.I loved charging speed with 120w charger. There is no heating issues at all. Display also very good and speakers are in top and bottom of the phone balanced the sound system. The main draw back was camera I'm not satisfied with camera. 108 MP is not good as much as 32 mp .,5,0.2876666666666666,Positive,realli nice product xiaomi love charg speed w charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera satisfi camera mp good much mp,Positive
1350,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",Xiaomi 11i Hypercharge Camera not work properly camera quality is very poor camera not focus properly in camera take a picture is blurry. she does not return my order please don't order this mobile camera is not work properly,1,-0.13,Negative,xiaomi hypercharg camera work properli camera qualiti poor camera focu properli camera take pictur blurri return order pleas order mobil camera work properli,Negative
1351,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)","Nice mobile. Average camera. Good mediatek processor. Great Audio via wired and wireless. Speaker audio quality is also good. Very good Display. Battery life is not that great. I would say average battery life. If you are more into photography than I wouldn't recommend this mobile. Overall, a value for money mobile phone....",4,0.4709999999999999,Positive,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi recommend mobil overal valu money mobil phone,Positive
1352,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",It's really nice mob.. The in hand feel is next level. Camera is not too good but can take decent photos.. Display is great.. Overall value for money..,4,0.37777777777777777,Positive,realli nice mob hand feel next level camera good take decent photo display great overal valu money,Positive
1353,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (6 GB RAM)",I am using this mobile by 1 week. And shareing my experience with you. Pre usage: Delivery of Flipkart for this mobile us awesome. Got it in only 2 days. Post Usage: Battery: charging is not taking 15 mint as per the claim 1% to 100% charge it is taking 18-20 mint . But it is having drainage issue might be for 5G mobile than my last 8pro 4G phone . Only having 20 hours of back up with moderate usage  and 15-18 hours with continue net usage and 4hoyrs video streaming . Expected more bett...,4,0.15555555555555556,Positive,use mobil week share experi pre usag deliveri flipkart mobil us awesom got day post usag batteri charg take mint per claim charg take mint drainag issu might g mobil last pro g phone hour back moder usag hour continu net usag hoyr video stream expect bett,Positive
1354,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)",Screen/Display : 4/5 (buttery smooth) Performance : 5/5Battery : 5/55G bands : 3/5(Shud have given 10+bands for the price we are paying) Camera : 2/5 (need to wait for updates) Charging Speed : 5/5 (120 watts) (Best feature for GAMERS although it will be benefitted in many situations) Weight : 5/5 ( I thought it would be heavier side coz of 200 grams plus but weight distribution is very good) Combination of Mediatek with xiaomi will need to see in coming updatesI don't know why insi...,5,0.7024999999999999,Positive,screen display butteri smooth perform batteri g band shud given band price pay camera need wait updat charg speed watt best featur gamer although benefit mani situat weight thought would heavier side coz gram plu weight distribut good combin mediatek xiaomi need see come updatesi know insi,Positive
1355,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","THE ULTIMATE POWER PACK.And the India's fastest charging smartphone is here ! 💥.I am totally amazed with this phone , as I always wanted something like this pack of Brilliant Display amazing camera,Ultimate fast charging, great speakers. In one word this is an out performer. Also the phone feels very premium in hand. It's a complete package of value for money. Go for it without second thought.",5,0.3111111111111111,Positive,ultim power pack india fastest charg smartphon total amaz phone alway want someth like pack brilliant display amaz camera ultim fast charg great speaker one word perform also phone feel premium hand complet packag valu money go without second thought,Positive
1356,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","Just received the phone and i must say this phone is definitely overhyped. Display is not good . I have one old samsung mobile which has better display than this and that too at a lower price . The only good thing i can say about this device is the charger that's it . Unless and until you don't have time to charge your phone then just don't buy this . Performance is okay okay type ..sd778 is better than this. Be careful if you buy this device , Flipkart is not letting me return this as i find...",1,0.23500000000000001,Positive,receiv phone must say phone definit overhyp display good one old samsung mobil better display lower price good thing say devic charger unless time charg phone buy perform okay okay type sd better care buy devic flipkart let return find,Negative
1357,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","Xiaomi 11i HyperCharge is a Great Launch by xiaomi 😍120W charger is very excellent, it's charging my device fully in 15 to 17 mins 😘Battery Draining is much faster then putting expectation on xiaomi products. Expecting to solve the battery draining issue. Camera is not good as per expecting the price range. Even Redmi note 10 pro max captures better picture then it. This camera bug need to solve the issue in next update. Display is fabulous 😋✨Performance is peaks with mediatek so...",4,0.36428571428571427,Positive,xiaomi hypercharg great launch xiaomi w charger excel charg devic fulli min batteri drain much faster put expect xiaomi product expect solv batteri drain issu camera good per expect price rang even redmi note pro max captur better pictur camera bug need solv issu next updat display fabul perform peak mediatek,Positive
1358,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","Camera is good .But I expected more clear images , let's hope camera will fixed after some updates. Performance is beast.💥Hypercharging is 🥰It's charge phone in 17-18 min. 0 to 100% at normal mode.But at 120w charging mode it's charge it at 15-16 min.I prefer to charge you at normal mode.Looks is also 😍",5,0.2285714285714286,Positive,camera good expect clear imag let hope camera fix updat perform beast hypercharg charg phone min normal mode w charg mode charg min prefer charg normal mode look also,Positive
1359,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","First impressive matter is it's made in India, Best design, best in class performance, cell phone is at premium segment.. have been using from last two days and explored few options like camera, gaming, display battey back up everything at its best.. I gave 5***** considering all parameters met by this product.. one who think best feature within 30k go for it...",5,0.5611111111111111,Positive,first impress matter made india best design best class perform cell phone premium segment use last two day explor option like camera game display battey back everyth best gave consid paramet met product one think best featur within k go,Positive
1360,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","Overall This phone comes in a great package except the Camera, where it is no at all good.Pros - 1) Build quality2) Speakers3) Display4) Battery 🤩5) Other featuresCons - 1) Camera2) Camera3) Camera",5,0.225,Positive,overal phone come great packag except camera good pro build qualiti speaker display batteri featurescon camera camera camera,Positive
1361,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)",PROSDisplay is amazing at this range.Hypercharge is awesome.Phone charges in 18 mins 26secs without using the boost mode.Dual speakers are really good.Fingerprint sensor is really fast.CONSCamera needs to be better.Hoping for an update from MI.Android 12 needs to be there now.Will give full review after extensive use.If you want awesome battery and display with sound. Go for this one.,5,0.39285714285714285,Positive,prosdisplay amaz rang hypercharg awesom phone charg min sec without use boost mode dual speaker realli good fingerprint sensor realli fast conscamera need better hope updat mi android need give full review extens use want awesom batteri display sound go one,Positive
1362,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)",Camara and battery could be better otherwise performance and display is very good,5,0.705,Positive,camara batteri could better otherwis perform display good,Positive
1363,"Xiaomi 11i Hypercharge 5G (Purple Mist, 128 GB)  (8 GB RAM)","Everyone has written about the phone and its very evident that the phone is average in camera, battery drain and software updates and good in fast charging (i was able to charge from 1% to 97% in 15 mins flat, without touching the screen) and screen quality and processor / ram management.Main thing which we would not come to know from other reviews is about the charger and its use with other brand products. here is my  review on that. The 120W Hypercharge is a fast charge adapter but has ...",3,0.19999999999999998,Positive,everyon written phone evid phone averag camera batteri drain softwar updat good fast charg abl charg min flat without touch screen screen qualiti processor ram manag main thing would come know review charger use brand product review w hypercharg fast charg adapt,Neutral
1364,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",Phone looks great in hand.Build quality is good and it looks premium.Display is good and it works smoothly at 120hz settingSound quality is better from previous Xiaomi phones as it has stereo speaker on too and bottom.Charging is super quick. It charged my phone from 2% to 100% in approx 17 minutes.Con- Xiaomi really need to work on its camera especially on front camera.The picture still looks like the one we get on phones in 10000 range.,4,0.38000000000000006,Positive,phone look great hand build qualiti good look premium display good work smoothli hz settingsound qualiti better previou xiaomi phone stereo speaker bottom charg super quick charg phone approx minut con xiaomi realli need work camera especi front camera pictur still look like one get phone rang,Positive
1365,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","I’m writing review after a month of week of usage, First display is 4/5 its a good display plus the phone look premium in hand and nice to use due to it design. Providing headphone jack is a plus. Despite of the fact that 4500 MAH batterie it last pretty long u can pass a day with 20 to 30% battery.  It has a good bright ness level too to view in sunlight. Over all a very good phone.Con:- Only drawback is camera , it doesn’t justify the price. (3.5/5) And do get Hypercharge model its so coo...",5,0.35772727272727267,Positive,write review month week usag first display good display plu phone look premium hand nice use due design provid headphon jack plu despit fact mah batteri last pretti long u pass day batteri good bright ness level view sunlight good phone con drawback camera justifi price get hypercharg model coo,Positive
1366,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",Ok.. after 3 days of using this mobile i am writing the review.First of all the rear camera quality is not that good for its price. Front camera is good.. performance is also good.. i got easily 8-9 hours screen on time.. and it's charge 2-100% in 17 minutes in my test. Afterall not a bad device.. but rear camera should be better.. i got this for 24000.. and for this price it's okay.. but in 27000 i will say it's overpriced.. specially it's sound quality is very good.. too loud and clear box...,3,0.49030303030303024,Positive,ok day use mobil write review first rear camera qualiti good price front camera good perform also good got easili hour screen time charg minut test afteral bad devic rear camera better got price okay say overpr special sound qualiti good loud clear box,Neutral
1367,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",Thanks for the phone Xiaomi for making such a Mobile. fast charging is quick as company claim.Thanks Flipkart for fast delivery.,5,0.18666666666666668,Positive,thank phone xiaomi make mobil fast charg quick compani claim thank flipkart fast deliveri,Positive
1368,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",MY XIAOMI 11i HYPER CHARGE MOBILE VERY GOOD . I'M HAPPY FOR PURCHASE THIS MOBILE . ALL IS WELL,5,0.855,Positive,xiaomi hyper charg mobil good happi purchas mobil well,Positive
1369,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",Really nice product from Xiaomi.I loved charging speed with 120w charger. There is no heating issues at all. Display also very good and speakers are in top and bottom of the phone balanced the sound system. The main draw back was camera I'm not satisfied with camera. 108 MP is not good as much as 32 mp .,5,0.2876666666666666,Positive,realli nice product xiaomi love charg speed w charger heat issu display also good speaker top bottom phone balanc sound system main draw back camera satisfi camera mp good much mp,Positive
1370,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",Xiaomi 11i Hypercharge Camera not work properly camera quality is very poor camera not focus properly in camera take a picture is blurry. she does not return my order please don't order this mobile camera is not work properly,1,-0.13,Negative,xiaomi hypercharg camera work properli camera qualiti poor camera focu properli camera take pictur blurri return order pleas order mobil camera work properli,Negative
1371,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)","Nice mobile. Average camera. Good mediatek processor. Great Audio via wired and wireless. Speaker audio quality is also good. Very good Display. Battery life is not that great. I would say average battery life. If you are more into photography than I wouldn't recommend this mobile. Overall, a value for money mobile phone....",4,0.4709999999999999,Positive,nice mobil averag camera good mediatek processor great audio via wire wireless speaker audio qualiti also good good display batteri life great would say averag batteri life photographi recommend mobil overal valu money mobil phone,Positive
1372,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",It's really nice mob.. The in hand feel is next level. Camera is not too good but can take decent photos.. Display is great.. Overall value for money..,4,0.37777777777777777,Positive,realli nice mob hand feel next level camera good take decent photo display great overal valu money,Positive
1373,"Xiaomi 11i Hypercharge 5G (Pacific Pearl, 128 GB)  (6 GB RAM)",I am using this mobile by 1 week. And shareing my experience with you. Pre usage: Delivery of Flipkart for this mobile us awesome. Got it in only 2 days. Post Usage: Battery: charging is not taking 15 mint as per the claim 1% to 100% charge it is taking 18-20 mint . But it is having drainage issue might be for 5G mobile than my last 8pro 4G phone . Only having 20 hours of back up with moderate usage  and 15-18 hours with continue net usage and 4hoyrs video streaming . Expected more bett...,4,0.15555555555555556,Positive,use mobil week share experi pre usag deliveri flipkart mobil us awesom got day post usag batteri charg take mint per claim charg take mint drainag issu might g mobil last pro g phone hour back moder usag hour continu net usag hoyr video stream expect bett,Positive
1374,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Camera is not at awesome but it is good but if we see his price according his work so it is High..,4,0.62,Positive,camera awesom good see price accord work high,Positive
1375,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)","Cons :Speaker volume low,Camera not worth 20k,.Pros :Long battery,Fast charge 60 min,Operating system has improved,Camera is also good, Call recording not working as earlier version of MIUI,Ram & processor is good to handle gaming,Miui almost bug free,Battery backup good, despite OS draining,Light weight, good looks, good design, never heats up,.Software can probably improve the camera performance and fix battery drain. But wifi reception speakers and bad display are hardware i...",4,0.2888888888888889,Positive,con speaker volum low camera worth k pro long batteri fast charg min oper system improv camera also good call record work earlier version miui ram processor good handl game miui almost bug free batteri backup good despit os drain light weight good look good design never heat softwar probabl improv camera perform fix batteri drain wifi recept speaker bad display hardwar,Positive
1376,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Value of money,5,0.0,Neutral,valu money,Positive
1377,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Best ever phone.. I like redmi....,5,1.0,Positive,best ever phone like redmi,Positive
1378,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Good 👌👌👌👌,5,0.7,Positive,good,Positive
1379,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Very good,5,0.9099999999999999,Positive,good,Positive
1380,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
1381,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Battery drain very fast,2,0.26,Positive,batteri drain fast,Negative
1382,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Very nice👍👍👍👍👍,5,0.2,Positive,nice,Positive
1383,"REDMI Note 11T 5G (Stardust White, 128 GB)  (6 GB RAM)",Nice,5,0.6,Positive,nice,Positive
1384,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Best metal body power bank good quality and fast charging 18w I like it 👍,5,0.6333333333333333,Positive,best metal bodi power bank good qualiti fast charg w like,Positive
1385,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Delivery was faster than expected.Nice power bank  It desined very well.At first it was qute confusing. After 2days it was easy to use.Thank u flipkard and MI for such a good product.I am really happy with this product.,5,0.29761904761904756,Positive,deliveri faster expect nice power bank desin well first qute confus day easi use thank u flipkard mi good product realli happi product,Positive
1386,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Beautiful colour of power bank and nice backup and good quality I love it most people should go for this product it's too good ❤️❤️👍👍🤗🤗🤗,5,0.6416666666666666,Positive,beauti colour power bank nice backup good qualiti love peopl go product good,Positive
1387,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Very worth ...i reduced one star ..becoz of reason is  ..i decided to buy for my mobile if am ready to go wid powerbnk cant forgot get to chrger ...but im unsatified becoz my port is c chrg pin big port of this powerbank consist only micro usb ...that only way i dissatisfy ..at the sametym i have to chrge my another mobile with this powerbnk ..and also i use my per mob  wth usb connecter .. Worth to buy it 😉😉Thankyou flipkart,4,0.14833333333333334,Positive,worth reduc one star becoz reason decid buy mobil readi go wid powerbnk cant forgot get chrger im unsatifi becoz port c chrg pin big port powerbank consist micro usb way dissatisfi sametym chrge anoth mobil powerbnk also use per mob wth usb connect worth buy thankyou flipkart,Positive
1388,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)","I am proud to say that i am use an made in India products 🙏❤️I think it is the best product in this price category, the backup was too good , My personal experience is it is very useful for me nd to you kindly brought it 🙏Thank you mi for these product nd thank you team flipkart & Ekart to deliver this product safely nd finely ❤️🙏",5,0.5580952380952381,Positive,proud say use made india product think best product price categori backup good person experi use nd kindli brought thank mi product nd thank team flipkart ekart deliv product safe nd fine,Positive
1389,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)","Don't Buy this product.This is not an 18w supported device as those device will take maximum upto 2 hrs to be changed fully.This device need minimum 6 to 7 hrs by using 18w fast chargers.My samsung M51 took 6 hrs to get full charge, while using this power bank..Dont believe in reviews. I think those reviews are paid reviews from Flipkart..Dont waste your money on this product.Try to buy intex, which gives a good result. Because i am using since 3 years. Still it works well..... 👍",1,0.2625,Positive,buy product w support devic devic take maximum upto hr chang fulli devic need minimum hr use w fast charger samsung took hr get full charg use power bank dont believ review think review paid review flipkart dont wast money product tri buy intex give good result use sinc year still work well,Negative
1390,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)","Excellent Mi 3i 10000 mAh power bank. Low price but high quality product. Best seller Retail Net No.1 product quality at reasonable price and fast shipping, recommended this seller. Yes Flipkart services are too good, really enjoy shopping. Thank you 💓",5,0.40666666666666673,Positive,excel mi mah power bank low price high qualiti product best seller retail net product qualiti reason price fast ship recommend seller ye flipkart servic good realli enjoy shop thank,Positive
1391,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Good product i charger my OnePlus 7T 2 times 100% and third time 35% battery 🔋 life is so good thank tou flip cart Dilivery is also so fast order come's in 2 days,4,0.39999999999999997,Positive,good product charger oneplu time third time batteri life good thank tou flip cart diliveri also fast order come day,Positive
1392,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Looks beautiful. Charges my phone quite fast but only which supports fast charging. Charges other phones efficiently as well.,5,0.225,Positive,look beauti charg phone quit fast support fast charg charg phone effici well,Positive
1393,"Mi 3i 10000 mAh Power Bank (Fast Charging, 18W)  (Blue, Lithium Polymer)",Very nice product just go for it and its price is also good if you are thinking to buy a power bank so just go for this.,5,0.74,Positive,nice product go price also good think buy power bank go,Positive
1394,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Working well after 3 days of using. Battery back up fine for normal usage. I had gifted this to my mom she is happy.Genuine phone in this range segment.,4,0.26666666666666666,Positive,work well day use batteri back fine normal usag gift mom happi genuin phone rang segment,Positive
1395,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)","Nice product according to its budget. But it's hard to play high Graphics games like pubg on 3GB RAM. It lags even when you play at Smooth Graphics settings. If this is for gaming (High graphics game) purpose, then don't go for 3GB or 2 GB RAM and the rest it works very well.",5,0.11833333333333333,Positive,nice product accord budget hard play high graphic game like pubg gb ram lag even play smooth graphic set game high graphic game purpos go gb gb ram rest work well,Positive
1396,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Very bad performance..Phone is hang..Time to time....,1,-0.9099999999999998,Negative,bad perform phone hang time time,Negative
1397,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Very worst product i had received and camara is not clear. Useless product delivered by Flipkart and not going to use this Flipkart going foward.Very.... Very..... Worst,1,-0.47000000000000003,Negative,worst product receiv camara clear useless product deliv flipkart go use flipkart go foward worst,Negative
1398,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Price Soo high but product so poor according to price I m not satisfied for this product,1,-0.16333333333333333,Negative,price soo high product poor accord price satisfi product,Negative
1399,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Worst phone ever by MI. VERY LOW QUALITY CAMERA. PERFORMANCE LIKE 3GP CERA,1,-0.5,Negative,worst phone ever mi low qualiti camera perform like gp cera,Negative
1400,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)","Accept camera (picture quality). All is good, this is budget phone.",3,0.7,Positive,accept camera pictur qualiti good budget phone,Neutral
1401,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",It's really nice 👍,5,0.6,Positive,realli nice,Positive
1402,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Great,5,0.8,Positive,great,Positive
1403,"Redmi 9A (Sea Blue, 32 GB)  (3 GB RAM)",Very good product,5,0.9099999999999999,Positive,good product,Positive
1404,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Camera is not at awesome but it is good but if we see his price according his work so it is High..,4,0.62,Positive,camera awesom good see price accord work high,Positive
1405,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)","Cons :Speaker volume low,Camera not worth 20k,.Pros :Long battery,Fast charge 60 min,Operating system has improved,Camera is also good, Call recording not working as earlier version of MIUI,Ram & processor is good to handle gaming,Miui almost bug free,Battery backup good, despite OS draining,Light weight, good looks, good design, never heats up,.Software can probably improve the camera performance and fix battery drain. But wifi reception speakers and bad display are hardware i...",4,0.2888888888888889,Positive,con speaker volum low camera worth k pro long batteri fast charg min oper system improv camera also good call record work earlier version miui ram processor good handl game miui almost bug free batteri backup good despit os drain light weight good look good design never heat softwar probabl improv camera perform fix batteri drain wifi recept speaker bad display hardwar,Positive
1406,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Value of money,5,0.0,Neutral,valu money,Positive
1407,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Best ever phone.. I like redmi....,5,1.0,Positive,best ever phone like redmi,Positive
1408,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Good 👌👌👌👌,5,0.7,Positive,good,Positive
1409,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Very good,5,0.9099999999999999,Positive,good,Positive
1410,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Nice product,5,0.6,Positive,nice product,Positive
1411,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Battery drain very fast,2,0.26,Positive,batteri drain fast,Negative
1412,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Very nice👍👍👍👍👍,5,0.2,Positive,nice,Positive
1413,"REDMI Note 11T 5G (Aquamarine Blue, 128 GB)  (6 GB RAM)",Nice,5,0.6,Positive,nice,Positive
1414,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",Amazing Product! So far so good after 2 weeks of use. Smooth use. Great budget phone. Super fast with no lags. Cameras are pretty good for a phone at this price range. Add a 32 or 64 GB card and you are set to go!!!,5,0.5037037037037037,Positive,amaz product far good week use smooth use great budget phone super fast lag camera pretti good phone price rang add gb card set go,Positive
1415,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",phone is Good in this price point. I use this phone while 15 days. but I never face any problem.1. phone camera is good in Daylight. Picture Quality is Nice. but in low light and night we doesn't capture a nice shot.2. The phone Procceser works really nice in normal Use. I say in normal use because I never use this phone for playing High Graphics games. I never face any heating issue for a while.3. This  phone has high power battery. It easily get overs a full day with quite heavy use.,5,0.34309523809523806,Positive,phone good price point use phone day never face problem phone camera good daylight pictur qualiti nice low light night captur nice shot phone procces work realli nice normal use say normal use never use phone play high graphic game never face heat issu phone high power batteri easili get over full day quit heavi use,Positive
1416,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",Value for the money battery and camera are good loom is also good overall a good phone in this budget...,5,0.5249999999999999,Positive,valu money batteri camera good loom also good overal good phone budget,Positive
1417,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",Nice product but performance is a bit low. Camera is good but the focus is not.....Battery backup is also good,5,0.49999999999999994,Positive,nice product perform bit low camera good focu batteri backup also good,Positive
1418,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",Thanks for flip kart Its very good product very fastly delivery im very happy.. Redmi y1 is very best phone battery camera and others are super very beautyfull slim phone  no weight im very happy,5,0.6129166666666668,Positive,thank flip kart good product fastli deliveri im happi redmi best phone batteri camera other super beautyful slim phone weight im happi,Positive
1419,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)","The Redmi Y1 Lite, an entry-level offering from Xiaomi is a scaled-down version of the similarly named Redmi Y1. The phone uses the Qualcomm Snapdragon 425 SoC that houses a quad core processor and comes in a single 2GB RAM + 16GB storage version. The phone supports dual SIM cards and has a dedicated, separate microSD card slot for additional storage capacity. The 3080 mAh battery is good for 35 hours of talk time and 11 days of standby time. The camera set up consists of a 13-megapixel unit ...",5,0.20952380952380953,Positive,redmi lite entri level offer xiaomi scale version similarli name redmi phone use qualcomm snapdragon soc hous quad core processor come singl gb ram gb storag version phone support dual sim card dedic separ microsd card slot addit storag capac mah batteri good hour talk time day standbi time camera set consist megapixel unit,Positive
1420,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",it is excellent,5,1.0,Positive,excel,Positive
1421,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",very nice,3,0.78,Positive,nice,Neutral
1422,"Redmi Y1 lite (Grey, 16 GB)  (2 GB RAM)",Happy,4,0.8,Positive,happi,Positive
